ID, First Name, Last Name, Money Available, Concerts Purchased, TicketMiner Membership, Username, Password, Transaction Count
84,Jesus,Munoz,0.63,85,No,munozjesus,REDACTED,22
74,Miranda,Macias,0.57,91,No,maciasmiranda,REDACTED,27
30,Pinocchio,Disney,2.02,112,Yes,pinocchiodisney,REDACTED,33
26,Shere,Khan,0.16,93,Yes,sherekhan,REDACTED,31
140,Urvi,Beltran,0.25,40,Yes,beltranurvi,REDACTED,14
136,Julieta,Rodriguez,1.10,119,No,rodriguezjulieta,REDACTED,32
25,Gaston,Disney,0.93,72,No,gastondisney,REDACTED,26
16,Woody,Disney,2.01,110,No,woodydisney,REDACTED,30
100,Jonus,Ronquillo,0.27,110,Yes,ronquillojonus,REDACTED,32
90,Frida,Pena,0.73,42,Yes,penafrida,REDACTED,13
122,Daniel,Mejia,1066.23,0,No,mejiadaniel,REDACTED,0
