First,Last,Action,Event ID,Event Name,Ticket Quantity,Ticket Type
Deep,Learning,Purchase,102,UTEP Spring Carnival,5,Gold
Lilo,Disney,Purchase,51,UTEP Wind Symphony 7,6,GA
Brenden,Ucol,Purchase,33,UTEP Basketball 20,1,Bronze
Jafar,Aladdin,Purchase,11,UTEP Football 11,4,Bronze
Jonathan,Gomez,Purchase,83,UTEP Fiesta Latina,4,Gold
Armando,Levario Alvarez,Purchase,97,Grupo Frontera Tour 2026,2,GA
Ariel,Disney,Purchase,16,UTEP Basketball 3,5,Silver
Gaston,Disney,Purchase,19,UTEP Basketball 6,2,Silver
Alondra,Mariscal,Purchase,12,UTEP Football 12,1,GA
Alex,Marquez,Purchase,118,UTEP Tech Expo,6,GA
Shere,Khan,Purchase,120,Miner Philharmonic Strings,2,Silver
Stephen,Curry,Purchase,58,Drake Live,3,Bronze
Cindy,Zhu,Purchase,117,Metallica M72 World Tour,5,Gold
Alondra,Mariscal,Purchase,45,UTEP Wind Symphony 1,5,GA
Random,Name,Purchase,59,Bad Bunny Live,2,Gold
Saul,Burns,Purchase,104,UTEP Miners vs. Liberty (Football),2,GA
Alejandro,Solano,Purchase,76,Lollapallooza,6,VIP
Aadvika,Pandey,Purchase,119,UTEP Miners vs. UT Arlington (Basketball),3,VIP
Urvi,Beltran,Purchase,99,Ed Sheeran Mathematics Tour,2,Bronze
Eugenio,Fernandez,Purchase,36,UTEP Basketball 23,1,GA
Russel,Westbrook,Purchase,77,UTEP Symphony Spring Concert,2,Gold
Brenden,Ucol,Purchase,60,Karol G Live,2,VIP
Captaiin,Hook,Purchase,84,Miner Choir Holiday Gala,2,VIP
Daniel,Cardenas,Purchase,14,UTEP Basketball 1,2,Silver
Daniel,Mejia,Purchase,78,UTEP Miners vs. NMSU Aggies (Football),6,VIP
Gaston,Disney,Purchase,74,ACL 2,3,Bronze
Pluto,Disney,Purchase,18,UTEP Basketball 5,3,Silver
Martha,Rios-Lozano,Purchase,55,UTEP Wind Symphony 11,4,GA
Cia,Martin,Purchase,114,Shakira World Tour 2026,2,GA
Kevin,Ayala Vilchis,Purchase,94,Post Malone World Tour,5,VIP
Ximena,Apodaca,Purchase,53,UTEP Wind Symphony 9,4,Gold
Jason,Ortiz,Purchase,26,UTEP Basketball 13,2,GA
Luis,Zepeda-Rodriguez,Purchase,95,UTEP Miners vs. Louisiana Tech (Basketball),5,VIP
Fernando,Guzman,Purchase,52,UTEP Wind Symphony 8,6,GA
Quasimodo,Disney,Purchase,89,UTEP Miners Volleyball vs. Rice,2,Bronze
Tenzin,Draduk,Purchase,29,UTEP Basketball 16,2,Bronze
Miranda,Macias,Purchase,60,Karol G Live,3,GA
Emily,Fernandez,Purchase,63,Shakira Live,3,Gold
Julieta,Rodriguez,Purchase,70,UTEP Commencement 2,1,Silver
Aadvika,Pandey,Purchase,65,Coachella 1,1,Gold
Alondra,Tarango,Purchase,83,UTEP Fiesta Latina,5,VIP
Luis,Zepeda-Rodriguez,Purchase,70,UTEP Commencement 2,6,Gold
Aadvika,Pandey,Purchase,114,Shakira World Tour 2026,1,Bronze
Alex,Marquez,Purchase,11,UTEP Football 11,5,Bronze
Fernando,Vargas,Purchase,51,UTEP Wind Symphony 7,1,Bronze
Isaiah,Johnson,Purchase,84,Miner Choir Holiday Gala,3,Bronze
David,Bai,Purchase,36,UTEP Basketball 23,6,Silver
Alejandro,Solano,Purchase,57,Taylor Swift Live,4,VIP
Aadvika,Pandey,Purchase,38,UTEP Basketball 25,3,VIP
Luis,Miguel,Purchase,71,UTEP Commencement 3,6,Gold
Kendra,Burton,Purchase,54,UTEP Wind Symphony 10,5,Gold
Scar,Lion,Purchase,45,UTEP Wind Symphony 1,1,Silver
Ares,Salazar,Purchase,47,UTEP Wind Symphony 3,1,VIP
George,Lopez,Purchase,37,UTEP Basketball 24,6,Silver
Stitch,Disney,Purchase,97,Grupo Frontera Tour 2026,3,VIP
Alireza,Nouri,Purchase,16,UTEP Basketball 3,3,Bronze
Gaston,Disney,Purchase,23,UTEP Basketball 10,6,Gold
Martha,Rios-Lozano,Purchase,92,UTEP Miners vs. SMU (Football),3,Silver
Ana,Rodriguez,Purchase,50,UTEP Wind Symphony 6,5,GA
Fatima,Ortiz,Purchase,38,UTEP Basketball 25,2,Silver
JohnMichael,Betancourt,Purchase,91,Bruno Mars 24K Magic Live,2,Bronze
Kaa,Disney,Purchase,69,UTEP Commencement 1,4,VIP
Michael,Close,Purchase,99,Ed Sheeran Mathematics Tour,6,Bronze
Dak,Prescot,Purchase,97,Grupo Frontera Tour 2026,2,GA
Brenden,Ucol,Purchase,90,UTEP Cultural Arts Festival,1,Gold
Isabela,Gaytan,Purchase,4,UTEP Football 4,5,VIP
Draymond,Green,Purchase,95,UTEP Miners vs. Louisiana Tech (Basketball),6,Silver
Francisco,Garcia,Purchase,104,UTEP Miners vs. Liberty (Football),1,Silver
Evil,Queen,Purchase,64,Justin Timberlake Live,5,Bronze
Alex,Marquez,Purchase,47,UTEP Wind Symphony 3,4,Bronze
Kendra,Burton,Purchase,9,UTEP Football 9,4,Silver
Jose,Ortiz Zarate,Purchase,109,UTEP Miners vs. New Mexico (Basketball),3,Bronze
Random,Name,Purchase,52,UTEP Wind Symphony 8,2,VIP
Sabina,Sosa,Purchase,12,UTEP Football 12,6,VIP
Daniel,Montellano Pinon,Purchase,116,UTEP Miners Women’s Soccer vs. NMSU,4,GA
Cinderella,Disney,Purchase,30,UTEP Basketball 17,4,GA
Gabriel,Tovar,Purchase,1,UTEP Football 1,5,Bronze
Emmanuel,Barraza-Villa,Purchase,53,UTEP Wind Symphony 9,3,Bronze
Gaston,Disney,Purchase,6,UTEP Football 6,6,Gold
Ridley,Dean,Purchase,87,Miner Food & Brew Festival,6,Bronze
Zachary,Carrejo,Purchase,75,EDC,1,GA
Random,Name,Purchase,26,UTEP Basketball 13,4,Gold
Eugenio,Fernandez,Purchase,31,UTEP Basketball 18,2,GA
Aadvika,Pandey,Purchase,117,Metallica M72 World Tour,4,Gold
Michael,Close,Purchase,77,UTEP Symphony Spring Concert,5,GA
Ximena,Apodaca,Purchase,6,UTEP Football 6,1,GA
Fernando,Vargas,Purchase,30,UTEP Basketball 17,3,GA
Tenzin,Draduk,Purchase,67,ACL,1,GA
Isai,Nino Morales,Purchase,42,UTEP Basketball 29,2,Gold
Water,Bottle,Purchase,75,EDC,5,GA
Goofy,Disney,Purchase,105,Miner Lights Winter Fest,4,Silver
Cinderella,Disney,Purchase,75,EDC,2,Bronze
Sam,Dominguez-Flores,Purchase,88,Coldplay: Viva La Vida Tour,4,Gold
Gaston,Disney,Purchase,86,Los Ángeles Azules en Concierto,2,Gold
Evelyn,Fang,Purchase,85,UTEP Miners vs. UTSA (Football),4,VIP
Brenden,Ucol,Purchase,87,Miner Food & Brew Festival,3,Bronze
Emiliano,Garcia,Purchase,47,UTEP Wind Symphony 3,1,VIP
Quasimodo,Disney,Purchase,47,UTEP Wind Symphony 3,2,VIP
Sabina,Sosa,Purchase,109,UTEP Miners vs. New Mexico (Basketball),1,Silver
Gael,Argumedo,Purchase,39,UTEP Basketball 26,5,Gold
Random,Name,Purchase,41,UTEP Basketball 28,1,GA
Stitch,Disney,Purchase,78,UTEP Miners vs. NMSU Aggies (Football),5,VIP
Malachi,Rosas,Purchase,97,Grupo Frontera Tour 2026,4,Bronze
Mufassa,Disney,Purchase,21,UTEP Basketball 8,3,VIP
Kaa,Disney,Purchase,91,Bruno Mars 24K Magic Live,3,Bronze
Kid,Cuddi,Purchase,96,UTEP Miner Pride Week,4,VIP
Michael,Close,Purchase,52,UTEP Wind Symphony 8,6,VIP
Estefania,Fernadez,Purchase,10,UTEP Football 10,2,VIP
Jake,Mayers,Purchase,30,UTEP Basketball 17,3,Silver
Sam,Dominguez-Flores,Purchase,89,UTEP Miners Volleyball vs. Rice,4,GA
Dale,Disney,Purchase,34,UTEP Basketball 21,1,GA
Miranda,Macias,Purchase,117,Metallica M72 World Tour,6,Silver
Machine,Learning,Purchase,42,UTEP Basketball 29,6,Gold
Fernando,Guzman,Purchase,114,Shakira World Tour 2026,6,GA
Urvi,Beltran,Purchase,91,Bruno Mars 24K Magic Live,6,VIP
Victoria,Lopez,Purchase,114,Shakira World Tour 2026,6,Bronze
Malachi,Rosas,Purchase,11,UTEP Football 11,5,VIP
Stephen,Curry,Purchase,29,UTEP Basketball 16,4,GA
Andrea,Villa,Purchase,71,UTEP Commencement 3,6,Silver
Alondra,Gonzalez,Purchase,94,Post Malone World Tour,4,Silver
Isai,Nino Morales,Purchase,36,UTEP Basketball 23,2,Gold
Arturo,Flores,Purchase,14,UTEP Basketball 1,2,Gold
Emiliano,Garcia,Purchase,59,Bad Bunny Live,4,VIP
Miguel,Renteria,Purchase,14,UTEP Basketball 1,6,VIP
Mulan,Disney,Purchase,26,UTEP Basketball 13,3,GA
Raphael,Romero,Purchase,32,UTEP Basketball 19,2,GA
Alejandro,Solano,Purchase,39,UTEP Basketball 26,2,Gold
Kid,Rock,Purchase,35,UTEP Basketball 22,6,Gold
Cruella,DeVil,Purchase,33,UTEP Basketball 20,4,Gold
Estefania,Fernadez,Purchase,15,UTEP Basketball 2,6,Bronze
Emmanuel,Barraza-Villa,Purchase,27,UTEP Basketball 14,5,Gold
Jose,Ortiz Zarate,Purchase,78,UTEP Miners vs. NMSU Aggies (Football),4,Bronze
Cruella,DeVil,Purchase,20,UTEP Basketball 7,1,Silver
Fatima,Ortiz,Purchase,82,UTEP Miners vs. North Texas (Basketball),1,Silver
Ariel,Disney,Purchase,4,UTEP Football 4,1,Bronze
Henry,Ng,Purchase,105,Miner Lights Winter Fest,5,Gold
Miranda,Macias,Purchase,121,Miner Holiday Market,5,GA
Ursela,Mermaid,Purchase,16,UTEP Basketball 3,4,Gold
Oliver,Garcia Camarena,Purchase,53,UTEP Wind Symphony 9,4,Bronze
Emilio,Rojero,Purchase,121,Miner Holiday Market,2,Silver
Pablo,Escobar,Purchase,97,Grupo Frontera Tour 2026,6,VIP
Maurizio,Gonzalez,Purchase,19,UTEP Basketball 6,4,Silver
Cinderella,Disney,Purchase,58,Drake Live,6,Gold
Emiliano,Huerta,Purchase,107,The Weeknd: After Hours Til Dawn Tour,2,VIP
Kevin,Ayala Vilchis,Purchase,31,UTEP Basketball 18,3,GA
Russel,Westbrook,Purchase,97,Grupo Frontera Tour 2026,3,VIP
Jairo,Ruvalcaba,Purchase,45,UTEP Wind Symphony 1,1,GA
Jake,Mayers,Purchase,48,UTEP Wind Symphony 4,3,GA
Deep,Learning,Purchase,113,UTEP Miners vs. UAB (Football),5,GA
Adrian,Sifuentes,Purchase,120,Miner Philharmonic Strings,6,VIP
Kid,Rock,Purchase,45,UTEP Wind Symphony 1,6,Silver
Luis,Carreon,Purchase,74,ACL 2,1,VIP
Cinderella,Disney,Purchase,4,UTEP Football 4,3,Silver
Stitch,Disney,Purchase,110,Banda MS Tour 2026,2,Silver
Kevin,Ayala Vilchis,Purchase,53,UTEP Wind Symphony 9,4,Bronze
Burger,King,Purchase,93,Miner Fest 2026,1,Gold
Alan,Villamil Cabrera,Purchase,36,UTEP Basketball 23,3,GA
Brian,Casio Iracheta,Purchase,95,UTEP Miners vs. Louisiana Tech (Basketball),6,Gold
Eloy,Perez Quinones,Purchase,82,UTEP Miners vs. North Texas (Basketball),6,Bronze
Jonus,Ronquillo,Purchase,67,ACL,1,Bronze
Lucas,Esquivel,Purchase,110,Banda MS Tour 2026,2,Bronze
Emilio,Rojero,Purchase,98,UTEP Miners vs. FIU (Football),3,Bronze
Carlo,Alonso,Purchase,8,UTEP Football 8,3,Silver
Sofia,Vergara,Purchase,70,UTEP Commencement 2,6,Gold
Scar,Lion,Purchase,53,UTEP Wind Symphony 9,3,Gold
Frida,Pena,Purchase,4,UTEP Football 4,3,Bronze
Draymond,Green,Purchase,61,RBD Live,4,Bronze
Cia,Martin,Purchase,7,UTEP Football 7,6,GA
Maria,Duron,Purchase,35,UTEP Basketball 22,3,Bronze
Anthony,Casillas,Purchase,100,UTEP Miner Cook-Off,1,Bronze
Sabina,Sosa,Purchase,50,UTEP Wind Symphony 6,3,GA
Caelyn,Campos,Purchase,78,UTEP Miners vs. NMSU Aggies (Football),2,GA
First,Last,Purchase,118,UTEP Tech Expo,6,VIP
Frida,Pena,Purchase,52,UTEP Wind Symphony 8,1,Silver
Juan,Reyes,Purchase,46,UTEP Wind Symphony 2,3,Gold
Ariel,Disney,Purchase,97,Grupo Frontera Tour 2026,3,VIP
Brian,Casio Iracheta,Purchase,30,UTEP Basketball 17,4,VIP
Aladdin,Disney,Purchase,83,UTEP Fiesta Latina,4,Gold
Fernando,Guzman,Purchase,92,UTEP Miners vs. SMU (Football),1,Silver
Jafar,Aladdin,Purchase,45,UTEP Wind Symphony 1,4,Gold
Armando,Levario Alvarez,Purchase,46,UTEP Wind Symphony 2,6,Gold
Prince,Eric,Purchase,34,UTEP Basketball 21,1,VIP
Elian,Pena Ramos,Purchase,63,Shakira Live,4,Gold
Andrea,Villa,Purchase,31,UTEP Basketball 18,2,GA
Isaiah,Johnson,Purchase,56,UTEP Wind Symphony 12,5,Bronze
Sports,Fan,Purchase,8,UTEP Football 8,2,Gold
Klay,Thompson,Purchase,55,UTEP Wind Symphony 11,3,Silver
Taco,Bell,Purchase,9,UTEP Football 9,5,VIP
Prince,Eric,Purchase,47,UTEP Wind Symphony 3,5,Silver
Brian,Casio Iracheta,Purchase,13,UTEP Football 13,5,Bronze
Julieta,Rodriguez,Purchase,9,UTEP Football 9,3,Silver
Donald,Duck,Purchase,112,Imagine Dragons Live,1,Bronze
Russel,Westbrook,Purchase,4,UTEP Football 4,2,Gold
James,Harden,Purchase,24,UTEP Basketball 11,2,GA
Carlos,Rappa,Purchase,82,UTEP Miners vs. North Texas (Basketball),1,Gold
Sam,Dominguez-Flores,Purchase,75,EDC,3,Silver
Vera,Wang,Purchase,50,UTEP Wind Symphony 6,4,VIP
Mickey,Mouse,Purchase,116,UTEP Miners Women’s Soccer vs. NMSU,6,VIP
Oliver,Garcia Camarena,Purchase,56,UTEP Wind Symphony 12,1,VIP
Tom,Holland,Purchase,101,UTEP Miners vs. Western Kentucky (Basketball),6,Silver
Luis,Miguel,Purchase,116,UTEP Miners Women’s Soccer vs. NMSU,1,GA
Kevin,Ayala Vilchis,Purchase,111,UTEP Miner Farmers Market,3,Silver
Kendra,Burton,Purchase,99,Ed Sheeran Mathematics Tour,4,Silver
Avery,Whittman,Purchase,56,UTEP Wind Symphony 12,5,GA
Luis,Miguel,Purchase,14,UTEP Basketball 1,4,Silver
Sabina,Sosa,Purchase,60,Karol G Live,4,Gold
Daniel,Montellano Pinon,Purchase,65,Coachella 1,2,Gold
Sebastian,Marquez,Purchase,43,UTEP Basketball 30,3,GA
Luis,Carreon,Purchase,15,UTEP Basketball 2,5,VIP
Saul,Burns,Purchase,64,Justin Timberlake Live,2,Silver
Fernando,Guzman,Purchase,47,UTEP Wind Symphony 3,6,Bronze
Miranda,Macias,Purchase,48,UTEP Wind Symphony 4,6,Bronze
Donald,Duck,Purchase,66,Coachella 2,3,Bronze
Carlos,Marin,Purchase,96,UTEP Miner Pride Week,5,Bronze
Gael,Argumedo,Purchase,62,Olivia Rodrigo Live,4,Silver
Quasimodo,Disney,Purchase,116,UTEP Miners Women’s Soccer vs. NMSU,6,VIP
Jonathan,Gomez,Purchase,105,Miner Lights Winter Fest,5,VIP
Dale,Disney,Purchase,7,UTEP Football 7,5,Gold
Beast,Disney,Purchase,82,UTEP Miners vs. North Texas (Basketball),6,Gold
JohnMichael,Betancourt,Purchase,68,Minerpalooza,4,GA
Prince,Eric,Purchase,48,UTEP Wind Symphony 4,4,Bronze
Maria,Duron,Purchase,121,Miner Holiday Market,1,GA
Donald,Duck,Purchase,119,UTEP Miners vs. UT Arlington (Basketball),6,GA
Kid,Cuddi,Purchase,44,UTEP Basketball 31,5,Bronze
Simba,King,Purchase,79,Gloria Trevi Live in El Paso,1,Bronze
Emiliano,Garcia,Purchase,82,UTEP Miners vs. North Texas (Basketball),5,VIP
Simba,Disney,Purchase,81,UTEP Jazz Ensemble Night,6,Silver
Luis,Miguel,Purchase,72,UTEP Commencement 3,6,Gold
James,Harden,Purchase,103,Maná México Lindo Tour,3,Gold
Alondra,Mariscal,Purchase,109,UTEP Miners vs. New Mexico (Basketball),5,GA
Belle,Disney,Purchase,36,UTEP Basketball 23,2,Gold
Chip,Disney,Purchase,106,UTEP Alumni Band Reunion Concert,5,VIP
Victoria,Lopez,Purchase,74,ACL 2,4,Silver
Aadvika,Pandey,Purchase,97,Grupo Frontera Tour 2026,1,Silver
Alondra,Mariscal,Purchase,88,Coldplay: Viva La Vida Tour,6,VIP
Fernando,Vargas,Purchase,110,Banda MS Tour 2026,4,GA
Alan,Villamil Cabrera,Purchase,110,Banda MS Tour 2026,6,Bronze
Taco,Bell,Purchase,37,UTEP Basketball 24,4,Bronze
Evelyn,Fang,Purchase,26,UTEP Basketball 13,4,Bronze
Daniel,Cardenas,Purchase,6,UTEP Football 6,6,Bronze
Jake,Mayers,Purchase,12,UTEP Football 12,4,VIP
Dak,Prescot,Purchase,7,UTEP Football 7,3,Bronze
Fernando,Vargas,Purchase,77,UTEP Symphony Spring Concert,5,Bronze
Emiliano,Huerta,Purchase,9,UTEP Football 9,4,Gold
Peter,Pan,Purchase,4,UTEP Football 4,4,VIP
Eloy,Perez Quinones,Purchase,16,UTEP Basketball 3,1,Gold
Gabriel,Tovar,Purchase,70,UTEP Commencement 2,4,GA
Armando,Levario Alvarez,Purchase,75,EDC,1,GA
Ariel,Disney,Purchase,69,UTEP Commencement 1,3,Gold
Gabriel,Tovar,Purchase,66,Coachella 2,6,VIP
Arturo,Flores,Purchase,43,UTEP Basketball 30,1,VIP
Beast,Disney,Purchase,61,RBD Live,1,Bronze
Donald,Duck,Purchase,23,UTEP Basketball 10,4,Bronze
Carlo,Alonso,Purchase,32,UTEP Basketball 19,2,Silver
Miguel,Renteria,Purchase,47,UTEP Wind Symphony 3,5,Bronze
Aadvika,Pandey,Purchase,32,UTEP Basketball 19,4,GA
Miguel,Renteria,Purchase,8,UTEP Football 8,2,GA
Beast,Disney,Purchase,79,Gloria Trevi Live in El Paso,4,VIP
Diego,Sanchez,Purchase,89,UTEP Miners Volleyball vs. Rice,5,GA
George,Lopez,Purchase,103,Maná México Lindo Tour,4,Gold
Victoria,Lopez,Purchase,78,UTEP Miners vs. NMSU Aggies (Football),6,GA
Brenden,Ucol,Purchase,81,UTEP Jazz Ensemble Night,6,Bronze
Cindy,Zhu,Purchase,5,UTEP Football 5,2,VIP
Gabriel,Tovar,Purchase,109,UTEP Miners vs. New Mexico (Basketball),2,VIP
Juan,Reyes,Purchase,11,UTEP Football 11,4,GA
Kevin,Ayala Vilchis,Purchase,40,UTEP Basketball 27,4,Bronze
Brian,Casio Iracheta,Purchase,27,UTEP Basketball 14,4,GA
Tom,Holland,Purchase,40,UTEP Basketball 27,3,Silver
Adan,Zamorano,Purchase,12,UTEP Football 12,6,Bronze
Isabela,Gaytan,Purchase,53,UTEP Wind Symphony 9,4,GA
Caelyn,Campos,Purchase,83,UTEP Fiesta Latina,1,VIP
Buzz,Lightyear,Purchase,53,UTEP Wind Symphony 9,1,GA
Jafar,Aladdin,Purchase,84,Miner Choir Holiday Gala,6,Bronze
Daniel,Montellano Pinon,Purchase,45,UTEP Wind Symphony 1,1,Gold
Klay,Thompson,Purchase,52,UTEP Wind Symphony 8,5,Gold
Quasimodo,Disney,Purchase,15,UTEP Basketball 2,1,GA
Mulan,Disney,Purchase,115,UTEP Miner Film Fest,3,Gold
Angel,Bautista,Purchase,26,UTEP Basketball 13,4,Silver
Sofia,Vergara,Purchase,80,UTEP Spring Music Fest,6,VIP
Donald,Duck,Purchase,45,UTEP Wind Symphony 1,2,VIP
Water,Bottle,Purchase,13,UTEP Football 13,6,Bronze
Jonus,Ronquillo,Purchase,81,UTEP Jazz Ensemble Night,2,Gold
Sofia,Vergara,Purchase,38,UTEP Basketball 25,1,GA
Daniel,Morales,Purchase,82,UTEP Miners vs. North Texas (Basketball),1,VIP
Elian,Pena Ramos,Purchase,72,UTEP Commencement 3,1,Silver
Juan,Reyes,Purchase,18,UTEP Basketball 5,6,Bronze
Michael,Close,Purchase,26,UTEP Basketball 13,2,GA
Jose,Ortiz Zarate,Purchase,32,UTEP Basketball 19,5,GA
Lebron,James,Purchase,23,UTEP Basketball 10,6,Silver
Victoria,Lopez,Purchase,15,UTEP Basketball 2,1,Silver
Simba,Disney,Purchase,75,EDC,2,GA
Cindy,Zhu,Purchase,17,UTEP Basketball 4,5,VIP
Saul,Burns,Purchase,35,UTEP Basketball 22,4,GA
Mickey,Mouse,Purchase,41,UTEP Basketball 28,6,VIP
First,Last,Purchase,100,UTEP Miner Cook-Off,4,Silver
Hercules,Disney,Purchase,112,Imagine Dragons Live,4,Gold
Ana,Rodriguez,Purchase,103,Maná México Lindo Tour,2,GA
Carlos,Marin,Purchase,44,UTEP Basketball 31,5,Gold
David,Bai,Purchase,52,UTEP Wind Symphony 8,6,Bronze
Armando,Levario Alvarez,Purchase,89,UTEP Miners Volleyball vs. Rice,2,Gold
Jake,Mayers,Purchase,118,UTEP Tech Expo,2,Gold
Cindy,Zhu,Purchase,28,UTEP Basketball 15,6,VIP
Taco,Bell,Purchase,121,Miner Holiday Market,2,Gold
Armando,Levario Alvarez,Purchase,71,UTEP Commencement 3,2,Bronze
Urvi,Beltran,Purchase,101,UTEP Miners vs. Western Kentucky (Basketball),2,GA
Emily,Fernandez,Purchase,67,ACL,1,GA
Cinderella,Disney,Purchase,1,UTEP Football 1,2,Gold
Buzz,Lightyear,Purchase,102,UTEP Spring Carnival,1,Gold
Kid,Rock,Purchase,31,UTEP Basketball 18,1,Silver
Draymond,Green,Purchase,64,Justin Timberlake Live,3,VIP
Angel,Bautista,Purchase,68,Minerpalooza,5,VIP
Oliver,Garcia Camarena,Purchase,87,Miner Food & Brew Festival,3,Gold
Jake,Mayers,Purchase,55,UTEP Wind Symphony 11,6,Bronze
Daniel,Montellano Pinon,Purchase,97,Grupo Frontera Tour 2026,3,Gold
Emmanuel,Barraza-Villa,Purchase,29,UTEP Basketball 16,4,VIP
Carlos,Marin,Purchase,72,UTEP Commencement 3,3,Gold
Kid,Rock,Purchase,22,UTEP Basketball 9,2,Silver
Oliver,Garcia Camarena,Purchase,53,UTEP Wind Symphony 9,2,Silver
Oliver,Garcia Camarena,Purchase,6,UTEP Football 6,5,Bronze
Dale,Disney,Purchase,103,Maná México Lindo Tour,1,Gold
Cruella,DeVil,Purchase,1,UTEP Football 1,3,VIP
Estefania,Fernadez,Purchase,21,UTEP Basketball 8,5,Gold
Aladdin,Disney,Purchase,28,UTEP Basketball 15,2,Bronze
Donald,Duck,Purchase,6,UTEP Football 6,2,Silver
George,Lopez,Purchase,79,Gloria Trevi Live in El Paso,6,Silver
Caelyn,Campos,Purchase,80,UTEP Spring Music Fest,5,GA
Abigail,Galarza,Purchase,26,UTEP Basketball 13,1,VIP
Daniela,Molina-Najera,Purchase,88,Coldplay: Viva La Vida Tour,6,VIP
Evil,Queen,Purchase,48,UTEP Wind Symphony 4,3,Bronze
Pinocchio,Disney,Purchase,108,Miner Summer Bash,6,GA
Kid,Cuddi,Purchase,60,Karol G Live,3,VIP
Carlos,Marin,Purchase,11,UTEP Football 11,3,GA
Isabela,Gaytan,Purchase,58,Drake Live,6,GA
Emily,Fernandez,Purchase,5,UTEP Football 5,6,Bronze
Angel,Bautista,Purchase,7,UTEP Football 7,6,GA
Minnie,Mouse,Purchase,30,UTEP Basketball 17,5,Gold
Cruella,DeVil,Purchase,62,Olivia Rodrigo Live,6,Bronze
Alondra,Tarango,Purchase,25,UTEP Basketball 12,1,GA
Daniel,Mejia,Purchase,98,UTEP Miners vs. FIU (Football),5,Silver
Martha,Rios-Lozano,Purchase,102,UTEP Spring Carnival,6,VIP
Simba,Disney,Purchase,35,UTEP Basketball 22,3,VIP
Luis,Carreon,Purchase,58,Drake Live,3,GA
Shere,Khan,Purchase,92,UTEP Miners vs. SMU (Football),4,GA
Cia,Martin,Purchase,20,UTEP Basketball 7,6,Silver
Kid,Cuddi,Purchase,82,UTEP Miners vs. North Texas (Basketball),5,Silver
