Money Available,First Name,TicketMiner Membership,Username,Concerts Purchased,Password,ID,Last Name
4933.65,Javier,false,flores de la ojavier,0,Fun!23,64,Flores De La O
5709.31,Abigail,true,galarzaabigail,0,Fun!23,65,Galarza
3824.02,Francisco,false,garciafrancisco,0,Fun!23,66,Garcia
3436.82,Oliver,true,garcia camarenaoliver,0,Fun!23,67,Garcia Camarena
4286.05,Jonathan,true,gomezjonathan,0,Fun!23,68,Gomez
5268,Maurizio,false,gonzalezmaurizio,0,Fun!23,69,Gonzalez
4750.73,Emiliano,false,huertaemiliano,0,Fun!23,70,Huerta
4447.92,Anisa,true,hyderanisa,0,Fun!23,71,Hyder
3061.14,Isaiah,true,johnsonisaiah,0,Fun!23,72,Johnson
2024.54,Armando,true,levario alvarezarmando,0,Fun!23,73,Levario Alvarez
2743.2,Miranda,false,maciasmiranda,0,Fun!23,74,Macias
2207.92,Carlos,false,marincarlos,0,Fun!23,75,Marin
1313.7,Alex,true,marquezalex,0,Fun!23,76,Marquez
4117.36,Sebastian,true,marquezsebastian,0,Fun!23,77,Marquez
2401.31,Cia,false,martincia,0,Fun!23,78,Martin
3594.6,Patty,true,martinezpatty,0,Fun!23,79,Martinez
2473,Thiaxi,false,melendez cepedathiaxi,0,Fun!23,80,Melendez Cepeda
2987.42,Daniela,true,molina-najeradaniela,0,Fun!23,81,Molina-Najera
1147.16,Daniel,false,montellano pinondaniel,0,Fun!23,82,Montellano Pinon
2294.29,Daniel,false,moralesdaniel,0,Fun!23,83,Morales
4514.2,Jesus,false,munozjesus,0,Fun!23,84,Munoz
5625.38,Henry,false,nghenry,0,Fun!23,85,Ng
5623.95,Isai,true,nino moralesisai,0,Fun!23,86,Nino Morales
4111.09,Jason,false,ortizjason,0,Fun!23,87,Ortiz
5282.23,Jose,true,ortiz zaratejose,0,Fun!23,88,Ortiz Zarate
3495.64,Aadvika,false,pandeyaadvika,0,Fun!23,89,Pandey
1565.15,Frida,true,penafrida,0,Fun!23,90,Pena
1756.66,Elian,true,pena ramoselian,0,Fun!23,91,Pena Ramos
4648.66,Eloy,false,perez quinoneseloy,0,Fun!23,92,Perez Quinones
4508.89,Isabel,false,quinonesisabel,0,Fun!23,93,Quinones
1946.17,Alexa,true,ramirez-salinasalexa,0,Fun!23,94,Ramirez-Salinas
2682.01,Carlos,true,rappacarlos,0,Fun!23,95,Rappa
5640.18,Miguel,true,renteriamiguel,0,Fun!23,96,Renteria
978.3,Juan,false,reyesjuan,0,Fun!23,97,Reyes
1401.53,Martha,false,rios-lozanomartha,0,Fun!23,98,Rios-Lozano
1959.49,Raphael,false,romeroraphael,0,Fun!23,99,Romero
3088.07,Jonus,true,ronquillojonus,0,Fun!23,100,Ronquillo
2605.64,Malachi,true,rosasmalachi,0,Fun!23,101,Rosas
5989.73,Jairo,true,ruvalcabajairo,0,Fun!23,102,Ruvalcaba
5713.3,Ares,false,salazarares,0,Fun!23,103,Salazar
1186.43,Diego,false,sanchezdiego,0,Fun!23,104,Sanchez
940.32,Adrian,false,sifuentesadrian,0,Fun!23,105,Sifuentes
2780.11,Alejandro,false,solanoalejandro,0,Fun!23,106,Solano
3803.92,Sabina,false,sosasabina,0,Fun!23,107,Sosa
2026.71,Alondra,false,tarangoalondra,0,Fun!23,108,Tarango
1100.51,Gabriel,true,tovargabriel,0,Fun!23,109,Tovar
2944.26,Brenden,false,ucolbrenden,0,Fun!23,110,Ucol
4477.47,Fernando,false,vargasfernando,0,Fun!23,111,Vargas
4721.41,Alan,false,villamil cabreraalan,0,Fun!23,112,Villamil Cabrera
4968.39,Adan,true,zamoranoadan,0,Fun!23,113,Zamorano
1503.25,Luis,false,zepeda-rodriguezluis,0,Fun!23,114,Zepeda-Rodriguez
5753.08,Kid,false,rockkid,0,Fun!23,115,Rock
1116.5,Kid,true,cuddikid,0,Fun!23,116,Cuddi
1629.1,Victoria,true,lopezvictoria,0,Fun!23,117,Lopez
2690.16,Jason,true,durulojason,0,Fun!23,118,Durulo
2848.95,Christina,false,perezchristina,0,Fun!23,119,Perez
1396.82,Arturo,false,floresarturo,0,Fun!23,120,Flores
1762.45,Emilio,true,rojeroemilio,0,Fun!23,121,Rojero
1066.23,Daniel,false,mejiadaniel,0,Fun!23,122,Mejia
4386.81,Denisse,false,loyadenisse,0,Fun!23,123,Loya
1888.04,Fatima,false,ortizfatima,0,Fun!23,124,Ortiz
801.62,Pablo,true,escobarpablo,0,Fun!23,125,Escobar
4883.5,Sofia,false,vergarasofia,0,Fun!23,126,Vergara
3407.18,George,false,lopezgeorge,0,Fun!23,127,Lopez
4134.54,Tom,false,hollandtom,0,Fun!23,128,Holland
1304.76,Vera,false,wangvera,0,Fun!23,129,Wang
3864.52,Alondra,false,gonzalezalondra,0,Fun!23,130,Gonzalez
4586.71,Isabela,false,gaytanisabela,0,Fun!23,131,Gaytan
1472.35,Estefania,true,fernadezestefania,0,Fun!23,132,Fernadez
4127.58,Andrea,false,villaandrea,0,Fun!23,133,Villa
4016.13,Alondra,false,mariscalalondra,0,Fun!23,134,Mariscal
4800.48,Ximena,false,apodacaximena,0,Fun!23,135,Apodaca
3770.85,Julieta,false,rodriguezjulieta,0,Fun!23,136,Rodriguez
2190.53,Daniel,true,reyesdaniel,0,Fun!23,137,Reyes
2807.37,Cindy,false,zhucindy,0,Fun!23,138,Zhu
5745.82,Jake,false,mayersjake,0,Fun!23,139,Mayers
5617.83,Urvi,true,beltranurvi,0,Fun!23,140,Beltran
3875.9,Emiliano,false,garciaemiliano,0,Fun!23,141,Garcia
4862.05,Fernando,false,guzmanfernando,0,Fun!23,142,Guzman
1618.53,Luis,false,armadoluis,0,Fun!23,143,Armado
1205.76,Deep,false,learningdeep,0,Fun!23,144,Learning
2817.01,Machine,false,learningmachine,0,Fun!23,145,Learning
5175.6,First,false,lastfirst,0,Fun!23,146,Last
1729.37,Random,false,namerandom,0,Fun!23,147,Name
5518.65,Avery,false,whittmanavery,0,Fun!23,148,Whittman
1487.98,Luis,false,miguelluis,0,Fun!23,149,Miguel
2071.36,Ana,false,rodriguezana,0,Fun!23,150,Rodriguez
1968.69,Sports,true,fansports,0,Fun!23,151,Fan
5825.1,Russel,false,westbrookrussel,0,Fun!23,152,Westbrook
3249.98,Dak,false,prescotdak,0,Fun!23,153,Prescot
5796.44,James,false,hardenjames,0,Fun!23,154,Harden
928.23,Lebron,true,jameslebron,0,Fun!23,155,James
5231,Draymond,true,greendraymond,0,Fun!23,156,Green
4304.63,Klay,false,thompsonklay,0,Fun!23,157,Thompson
5113.14,Stephen,true,currystephen,0,Fun!23,158,Curry
898.37,Kendra,true,burtonkendra,0,Fun!23,159,Burton
3527.6,Burger,false,kingburger,0,Fun!23,160,King
2157.53,Taco,true,belltaco,0,Fun!23,161,Bell
3189.73,Water,true,bottlewater,0,Fun!23,162,Bottle
